Subdivision category;3166-2 code;Subdivision name;Local variant;Language code;Romanization system;Parent subdivision
governorate;OM-DA*;Ad Dākhilīyah;;ar;BGN/PCGN 1956;
governorate;OM-BU*;Al Buraymī;;ar;BGN/PCGN 1956;
governorate;OM-WU*;Al Wusţá;;ar;BGN/PCGN 1956;
governorate;OM-ZA*;Az̧ Z̧āhirah;;ar;BGN/PCGN 1956;
governorate;OM-BJ*;Janūb al Bāţinah;;ar;BGN/PCGN 1956;
governorate;OM-SJ*;Janūb ash Sharqīyah;;ar;BGN/PCGN 1956;
governorate;OM-MA*;Masqaţ;Muscat;ar;BGN/PCGN 1956;
governorate;OM-MU*;Musandam;;ar;BGN/PCGN 1956;
governorate;OM-BS*;Shamāl al Bāţinah;;ar;BGN/PCGN 1956;
governorate;OM-SS*;Shamāl ash Sharqīyah;;ar;BGN/PCGN 1956;
governorate;OM-ZU*;Z̧ufār;Dhofar;ar;BGN/PCGN 1956;